KEYS;en;de;es;pl;fr;it;rs;ru;jp;
MENU_WARNING;WARNING:\n\nThis game is about a person's life, relationships, family, addiction, and ultimately, loneliness.\n\nIt covers heavy topics that many can't handle.;WARNUNG:\n\nIn diesem Spiel geht es um das Leben, die Beziehungen, die Familie, die Sucht und letztendlich die Einsamkeit eines Menschen.\n\nEs behandelt schwere Themen, mit denen viele nicht umgehen können.;ADVERTENCIA:\n\nEste juego trata sobre la vida, las relaciones, la familia, la adicción y, en última instancia, la soledad de una persona.\n\nCubre temas pesados que muchos no pueden manejar.;OSTRZEŻENIE:\n\nTa gra opowiada o życiu człowieka, relacjach, rodzinie, uzależnieniu i w końcu o samotności.\n\nPorusza ciężkie tematy, z którymi wielu nie potrafi sobie poradzić.;AVERTISSEMENT:\n\nCe jeu traite de la vie d'une personne, de ses relations, de sa famille, de la dépendance et, finalement, de la solitude.\n\nIl couvre des sujets lourds que beaucoup ne peuvent pas gérer.;AVVERTIMENTO:\n\nQuesto gioco riguarda la vita di una persona, le relazioni, la famiglia, la dipendenza e, in ultima analisi, la solitudine.\n\nCopre argomenti pesanti che molti non riescono a gestire.;UPOZORENJE:\n\nOva igra se radi o nečijem životu, vezama, porodici, zavisnosti, i zaključno, o samoći.\n\nIgra sadrži teme koje mnogi ne mogu da podnesu.;ПРЕДУПРЕЖДЕНИЕ:\n\nЭта игра рассказывает о жизни человека, отношениях, семье, зависимости и, в конечном итоге, одиночестве.\n\nОна затрагивает тяжелые темы, с которыми не все могут справиться.;警告：\n\nこのゲームは、人の人生、関係、家族、依存症、そして最終的には孤独について描いています。\n\n多くの人が扱えない重いテーマが含まれています。;
MENU_STARTGAME;Start the Game;Starte das Spiel;Comenzar el juego;Rozpocznij grę;Commencer le jeu;Avvia il gioco;Počni igricu;Начать игру;ゲームを開始;
MENU_BACK;Back;Zurück;Atrás;Wstecz;Retour;Indietro;Nazad;Назад;戻る;
MENU_APPLYANDSAVE;Apply and save;Bewerben und speichern;Aplicar y guardar;Zastosuj i zapisz;Appliquer et sauvegarder;Applica e salva;Potvrdi i sačuvaj;Применить и сохранить;適用して保存;
MENU_SETTINGS;Settings;Einstellungen;Ajustes;Ustawienia;Paramètres;Impostazioni;Podešavanja;Настройки;設定;
MENU_QUITGAME;Quit the Game;Spiel beenden;Salir del juego;Zakończ grę;Quitter le jeu;Esci dal gioco;Izađi iz igre;Выйти из игры;ゲームを終了;
MENU_FEEDBACK;Feedback;Feedback;Comentarios;Opinie;Retour;Feedback;Povratne informacije;Отзывы;フィードバック;
MENU_CREDITS;Credits;Credits;Créditos;Twórcy;Crédits;Crediti;Zasluge;Создатели;クレジット;
MENU_GRAPHICS;Graphics;Grafik;Gráficos;Grafika;Graphismes;Grafica;Grafika;Графика;グラフィックス;
MENU_AUDIO;Audio;Audio;Audio;Dźwięk;Audio;Audio;Zvuk;Аудио;オーディオ;
MENU_INPUT;Input;Eingabe;Entrada;Wejście;Entrée;Input;Kontrole;Ввод;入力;
MENU_LANGUAGES;Languages;Sprachen;Idiomas;Języki;Langues;Lingue;Jezici;Языки;言語;
MENU_OTHER;Other;Andere;Otro;Inne;Autre;Altro;Ostalo;Другое;その他;
MENU_CLICKTOCONTINUE;Click to continue;Klicke um Fortzufahren;Haz click para continuar;Kliknij, aby kontynuować;Cliquez pour continuer;Clicca per continuare;Klikni da nastaviš;Нажмите, чтобы продолжить;続行するにはクリックしてください;
